Pays,Annee,Categorie de vehicules,Polluant,emission facteur,Unite
FR,2010,LBus,CO2(rep),"962,425",[g/Vehkm]
FR,2010,LBus,HC,"0,827",[g/Vehkm]
FR,2010,LBus,mcarb,"330,744",[g/Vehkm]
FR,2010,LBus,NOx,"9,221",[g/Vehkm]
FR,2010,LBus,PM,"0,199",[g/Vehkm]
FR,2010,MC,carb_MJ,"1,589",[MJ/Vehkm]
FR,2010,MC,CO,"4,325",[g/Vehkm]
FR,2010,MC,CO2(rep),"112,411",[g/Vehkm]
FR,2010,MC,HC,"1,01",[g/Vehkm]
FR,2010,MC,mcarb,"36,808",[g/Vehkm]
FR,2010,MC,NOx,"0,147",[g/Vehkm]
FR,2010,MC,PM,"0,039",[g/Vehkm]
FR,2010,PLM,carb_MJ,"12,805",[MJ/Vehkm]
FR,2010,PLM,CO,"2,405",[g/Vehkm]
FR,2010,PLM,CO2(rep),"904,208",[g/Vehkm]
FR,2010,PLM,HC,"0,256",[g/Vehkm]
FR,2010,PLM,mcarb,"307,162",[g/Vehkm]
FR,2010,PLM,NOx,"7,469",[g/Vehkm]
FR,2010,PLM,PM,"0,146",[g/Vehkm]
FR,2010,VL,carb_MJ,"3,161",[MJ/Vehkm]
FR,2010,VL,CO,"0,694",[g/Vehkm]
FR,2010,VL,CO2(rep),"223,124",[g/Vehkm]
FR,2010,VL,HC,"0,081",[g/Vehkm]
FR,2010,VL,mcarb,"75,769",[g/Vehkm]
FR,2010,VL,NOx,"1,479",[g/Vehkm]
FR,2010,VL,PM,"0,105",[g/Vehkm]
FR,2010,VT,carb_MJ,"2,402",[MJ/Vehkm]
FR,2010,VT,CO,"1,408",[g/Vehkm]
FR,2010,VT,CO2(rep),"169,605",[g/Vehkm]
FR,2010,VT,HC,"0,256",[g/Vehkm]
FR,2010,VT,mcarb,"57,056",[g/Vehkm]
FR,2010,VT,NOx,"0,752",[g/Vehkm]
FR,2010,VT,PM,"0,036",[g/Vehkm]
FR,2015,CAR,carb_MJ,"9,697",[MJ/Vehkm]
FR,2015,CAR,CO,"2,239",[g/Vehkm]
FR,2015,CAR,CO2(rep),"680,631",[g/Vehkm]
FR,2015,CAR,HC,"0,194",[g/Vehkm]
FR,2015,CAR,mcarb,"232,778",[g/Vehkm]
FR,2015,CAR,NOx,"5,948",[g/Vehkm]
FR,2015,CAR,PM,"0,106",[g/Vehkm]
FR,2015,LBus,carb_MJ,"13,615",[MJ/Vehkm]
FR,2015,LBus,CO,"2,997",[g/Vehkm]
FR,2015,LBus,CO2(rep),"926,564",[g/Vehkm]
FR,2015,LBus,HC,"0,397",[g/Vehkm]
FR,2015,LBus,mcarb,"320,587",[g/Vehkm]
FR,2015,LBus,NOx,"6,685",[g/Vehkm]
FR,2015,LBus,PM,"0,103",[g/Vehkm]
FR,2015,MC,carb_MJ,"1,6",[MJ/Vehkm]
FR,2015,MC,CO,"1,989",[g/Vehkm]
FR,2015,MC,CO2(rep),"111,849",[g/Vehkm]
FR,2015,MC,HC,"0,87",[g/Vehkm]
FR,2015,MC,mcarb,"37,326",[g/Vehkm]
FR,2015,MC,NOx,"0,093",[g/Vehkm]
FR,2015,MC,PM,"0,044",[g/Vehkm]
FR,2015,PLM,carb_MJ,"12,553",[MJ/Vehkm]
FR,2015,PLM,CO,"2,665",[g/Vehkm]
FR,2015,PLM,CO2(rep),"880,849",[g/Vehkm]
FR,2015,PLM,HC,"0,105",[g/Vehkm]
FR,2015,PLM,mcarb,"301,283",[g/Vehkm]
FR,2015,PLM,NOx,"5,565",[g/Vehkm]
FR,2015,PLM,PM,"0,08",[g/Vehkm]
FR,2015,VL,carb_MJ,"3,183",[MJ/Vehkm]
FR,2015,VL,CO,"0,389",[g/Vehkm]
FR,2015,VL,CO2(rep),"223,166",[g/Vehkm]
FR,2015,VL,HC,"0,04",[g/Vehkm]
FR,2015,VL,mcarb,"76,314",[g/Vehkm]
FR,2015,VL,NOx,"1,493",[g/Vehkm]
FR,2015,VL,PM,"0,055",[g/Vehkm]
FR,2015,VT,carb_MJ,"2,297",[MJ/Vehkm]
FR,2015,VT,CO,"0,839",[g/Vehkm]
FR,2015,VT,CO2(rep),"160,803",[g/Vehkm]
FR,2015,VT,HC,"0,14",[g/Vehkm]
FR,2015,VT,mcarb,"54,761",[g/Vehkm]
FR,2015,VT,NOx,"0,749",[g/Vehkm]
FR,2015,VT,PM,"0,022",[g/Vehkm]
FR,2020,CAR,carb_MJ,"9,183",[MJ/Vehkm]
FR,2020,CAR,CO,"1,543",[g/Vehkm]
FR,2020,CAR,CO2(rep),"626,349",[g/Vehkm]
FR,2020,CAR,HC,"0,095",[g/Vehkm]
FR,2020,CAR,mcarb,"220,297",[g/Vehkm]
FR,2020,CAR,NOx,"3,522",[g/Vehkm]
FR,2020,CAR,PM,"0,053",[g/Vehkm]
FR,2020,LBus,carb_MJ,"13,149",[MJ/Vehkm]
FR,2020,LBus,CO,"2,089",[g/Vehkm]
FR,2020,LBus,CO2(rep),"829,136",[g/Vehkm]
FR,2020,LBus,HC,"0,194",[g/Vehkm]
FR,2020,LBus,mcarb,"302,509",[g/Vehkm]
FR,2020,LBus,NOx,"3,9",[g/Vehkm]
FR,2020,LBus,PM,"0,053",[g/Vehkm]
FR,2020,MC,carb_MJ,"1,572",[MJ/Vehkm]
FR,2020,MC,CO,"1,088",[g/Vehkm]
FR,2020,MC,CO2(rep),"107,509",[g/Vehkm]
FR,2020,MC,HC,"0,688",[g/Vehkm]
FR,2020,MC,mcarb,"37,129",[g/Vehkm]
FR,2020,MC,NOx,"0,057",[g/Vehkm]
FR,2020,MC,PM,"0,034",[g/Vehkm]
FR,2020,PLM,carb_MJ,"12,17",[MJ/Vehkm]
FR,2020,PLM,CO,"1,294",[g/Vehkm]
FR,2020,PLM,CO2(rep),"830,894",[g/Vehkm]
FR,2020,PLM,HC,"0,044",[g/Vehkm]
FR,2020,PLM,mcarb,"292,18",[g/Vehkm]
FR,2020,PLM,NOx,"2,381",[g/Vehkm]
FR,2020,PLM,PM,"0,029",[g/Vehkm]
FR,2020,VL,carb_MJ,"3,319",[MJ/Vehkm]
FR,2020,VL,CO,"0,323",[g/Vehkm]
FR,2020,VL,CO2(rep),"227,467",[g/Vehkm]
FR,2020,VL,HC,"0,025",[g/Vehkm]
FR,2020,VL,mcarb,"79,72",[g/Vehkm]
FR,2020,VL,NOx,"1,052",[g/Vehkm]
FR,2020,VL,PM,"0,025",[g/Vehkm]
FR,2020,VT,carb_MJ,"2,237",[MJ/Vehkm]
FR,2020,VT,CO,"0,648",[g/Vehkm]
FR,2020,VT,CO2(rep),"152,708",[g/Vehkm]
FR,2020,VT,HC,"0,1",[g/Vehkm]
FR,2020,VT,mcarb,"53,431",[g/Vehkm]
FR,2020,VT,NOx,"0,567",[g/Vehkm]
FR,2020,VT,PM,"0,012",[g/Vehkm]
FR,2025,CAR,carb_MJ,"8,546",[MJ/Vehkm]
FR,2025,CAR,CO,"0,928",[g/Vehkm]
FR,2025,CAR,CO2(rep),"582,88",[g/Vehkm]
FR,2025,CAR,HC,"0,05",[g/Vehkm]
FR,2025,CAR,mcarb,"204,276",[g/Vehkm]
FR,2025,CAR,NOx,"1,764",[g/Vehkm]
FR,2025,CAR,PM,"0,022",[g/Vehkm]
FR,2025,LBus,carb_MJ,"12,431",[MJ/Vehkm]
FR,2025,LBus,CO,"1,266",[g/Vehkm]
FR,2025,LBus,CO2(rep),"743,956",[g/Vehkm]
FR,2025,LBus,HC,"0,093",[g/Vehkm]
FR,2025,LBus,mcarb,"276,164",[g/Vehkm]
FR,2025,LBus,NOx,"2,002",[g/Vehkm]
FR,2025,LBus,PM,"0,025",[g/Vehkm]
FR,2025,MC,carb_MJ,"1,483",[MJ/Vehkm]
FR,2025,MC,CO,"0,773",[g/Vehkm]
FR,2025,MC,CO2(rep),"99,737",[g/Vehkm]
FR,2025,MC,HC,"0,531",[g/Vehkm]
FR,2025,MC,mcarb,"35,243",[g/Vehkm]
FR,2025,MC,NOx,"0,034",[g/Vehkm]
FR,2025,MC,PM,"0,029",[g/Vehkm]
FR,2025,PLM,carb_MJ,"11,175",[MJ/Vehkm]
FR,2025,PLM,CO,"0,462",[g/Vehkm]
FR,2025,PLM,CO2(rep),"754,036",[g/Vehkm]
FR,2025,PLM,HC,"0,067",[g/Vehkm]
FR,2025,PLM,mcarb,"266,107",[g/Vehkm]
FR,2025,PLM,NOx,"0,838",[g/Vehkm]
FR,2025,PLM,PM,"0,01",[g/Vehkm]
FR,2025,VL,carb_MJ,"3,222",[MJ/Vehkm]
FR,2025,VL,CO,"0,338",[g/Vehkm]
FR,2025,VL,CO2(rep),"220,435",[g/Vehkm]
FR,2025,VL,HC,"0,026",[g/Vehkm]
FR,2025,VL,mcarb,"76,838",[g/Vehkm]
FR,2025,VL,NOx,"0,567",[g/Vehkm]
FR,2025,VL,PM,"0,022",[g/Vehkm]
FR,2025,VT,carb_MJ,"2,124",[MJ/Vehkm]
FR,2025,VT,CO,"0,577",[g/Vehkm]
FR,2025,VT,CO2(rep),"142,621",[g/Vehkm]
FR,2025,VT,HC,"0,09",[g/Vehkm]
FR,2025,VT,mcarb,"50,129",[g/Vehkm]
FR,2025,VT,NOx,"0,43",[g/Vehkm]
FR,2025,VT,PM,"0,007",[g/Vehkm]
FR,2030,CAR,carb_MJ,"7,78",[MJ/Vehkm]
FR,2030,CAR,CO,"0,488",[g/Vehkm]
FR,2030,CAR,CO2(rep),"539,124",[g/Vehkm]
FR,2030,CAR,HC,"0,039",[g/Vehkm]
FR,2030,CAR,mcarb,"184,873",[g/Vehkm]
FR,2030,CAR,NOx,"0,772",[g/Vehkm]
FR,2030,CAR,PM,"0,009",[g/Vehkm]
FR,2030,LBus,carb_MJ,"11,582",[MJ/Vehkm]
FR,2030,LBus,CO,"0,707",[g/Vehkm]
FR,2030,LBus,CO2(rep),"659,189",[g/Vehkm]
FR,2030,LBus,HC,"0,067",[g/Vehkm]
FR,2030,LBus,mcarb,"246,242",[g/Vehkm]
